time,value
1752851130.8670635,0
1752851130.9704835,0
1752851131.0736215,0
1752851131.176745,-1
1752851131.2802856,-1
1752851131.383609,0
1752851131.4868002,1
1752851131.5899718,1
1752851131.6933064,0
1752851131.7964494,0
1752851131.899797,0
1752851132.0029993,0
1752851132.1061585,1
1752851132.2095606,0
1752851132.31272,-1
1752851132.416078,0
1752851132.5192504,1
1752851132.6226542,1
1752851132.725803,-1
1752851132.829039,-1
1752851132.9320464,0
1752851133.0351176,0
1752851133.1382384,0
1752851133.241253,12
1752851133.3444057,-1
1752851133.4475083,-2
1752851133.5506523,0
1752851133.6537592,1
1752851133.7568333,1
1752851133.8601515,-1
1752851133.9632237,-1
1752851134.0663474,1
1752851134.1695056,1
1752851134.272656,1
1752851134.3757226,0
1752851134.4788501,-1
1752851134.5818906,0
1752851134.6849823,1
1752851134.7880793,0
1752851134.8914094,-1
1752851134.994759,-1
1752851135.097901,-1
1752851135.201002,0
1752851135.3041265,0
1752851135.4071977,0
1752851135.5102737,-1
1752851135.6134486,-1
1752851135.71654,0
1752851135.8195226,1
1752851135.922649,1
1752851136.0257304,0
1752851136.1287932,-1
1752851136.2319422,0
1752851136.3350513,1
1752851136.4381166,1
1752851136.5414402,0
1752851136.6445608,-1
1752851136.7476513,-1
1752851136.8508945,1
1752851136.9540143,1
1752851137.0573883,0
1752851137.1604602,-1
1752851137.2635255,-1
1752851137.3666813,0
1752851137.4697654,1
1752851137.5730476,32
1752851137.6761572,912
1752851137.7792335,1457
1752851137.8822935,1622
1752851137.9853787,1662
1752851138.0885167,1688
1752851138.191627,1728
1752851138.2947795,1731
1752851138.3978853,1720
1752851138.5009856,1711
1752851138.604028,1699
1752851138.7071095,1658
1752851138.8101792,1381
1752851138.9132423,337
1752851139.016305,19
1752851139.119445,1
1752851139.2225347,1
1752851139.3256621,0
1752851139.4288008,-1
1752851139.5319252,0
1752851139.635022,1
1752851139.7381132,1
1752851139.841163,-1
1752851139.9442248,734
1752851140.0472388,1370
1752851140.1502767,1522
1752851140.2534115,1577
1752851140.3565311,1525
1752851140.459608,-1
1752851140.5627487,-1
1752851140.6658711,0
1752851140.7689507,1
1752851140.872162,1
1752851140.9752457,0
1752851141.078363,-1
1752851141.1817155,0
1752851141.2848341,1
1752851141.387953,1
1752851141.49128,-1
1752851141.594396,-1
1752851141.6975522,0
1752851141.8009326,1
1752851141.9040136,1
1752851142.007419,-1
1752851142.1108565,-1
1752851142.213931,0
1752851142.3171942,1
1752851142.4203174,1
1752851142.5236561,0
1752851142.6268497,-1
1752851142.729938,0
1752851142.8332345,0
1752851142.9363286,1
1752851143.0396965,-1
1752851143.1428895,-1
1752851143.2461655,-1
1752851143.3495262,1
1752851143.4526203,1
1752851143.5560527,0
1752851143.6591723,-1
1752851143.762578,-1
1752851143.8657146,0
1752851143.9690259,1
1752851144.072169,0
1752851144.175518,-1
1752851144.2787256,-1
1752851144.3820539,0
1752851144.4851527,1
1752851144.5885239,0
1752851144.6916387,-1
1752851144.7949982,-1
1752851144.8981025,0
1752851145.0014102,1
1752851145.1045017,0
1752851145.2078812,-1
1752851145.312394,-1
1752851145.415463,0
1752851145.5188484,1
1752851145.6219745,0
1752851145.7250574,-1
1752851145.8283057,-1
1752851145.931423,0
1752851146.034767,1
1752851146.1379356,0
1752851146.240975,-1
